Altium Designer Pick and Place Locations
C:\GitHub\CurveTracer\CT9042FRONT\CT9042 Front Board\.\Production\Front Board\Pick Place for CT9042 Front Board.txt

========================================================================================================================
File Design Information:

Date:       22/09/25
Time:       18:27
Revision:   837e460546bf380a2249496db33e8ac55d299a61
Variant:    No variations
Units used: mil

Designator Comment                   Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                           
U6         TLC555                    BottomLayer SO127P600-8N                     8456.693      898.622       270      IC,TIMER,CMOSE,TI,TLC555,SO8                                          
U5         TLC555                    BottomLayer SO127P600-8N                     8696.850      898.622       270      IC,TIMER,CMOSE,TI,TLC555,SO8                                          
R39        RESC0603                  BottomLayer RESC0603                         8193.898      860.236       270      "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R38        RESC0603                  BottomLayer RESC0603                         8037.402      861.221       270      "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R37        RESC0603                  BottomLayer RESC0603                         8286.417      1179.134      90       "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R36        RESC0603                  BottomLayer RESC0603                         8221.457      1180.118      90       "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R35        RESC0603                  BottomLayer RESC0603                         8381.890      672.244       90       "RESISTOR,10K,1%,100mW,0603 (1608)"                                   
R34        RESC0603                  BottomLayer RESC0603                         8621.063      672.244       90       "RESISTOR,10K,1%,100mW,0603 (1608)"                                   
Q3         MMBT2222                  BottomLayer SOT23                            8240.157      989.173       180      XSTR,NPN,40V,0.6A,,MMBT2222,SOT23                                     
Q2         MMBT2222                  BottomLayer SOT23                            8083.661      989.173       180      XSTR,NPN,40V,0.6A,,MMBT2222,SOT23                                     
C15        CAP0603                   BottomLayer CAPC0603                         8555.118      672.244       270      CAPACITOR,CERAMIC,100nF,50V,X7R,0603                                  
C14        CAP0603                   BottomLayer CAPC0603                         8794.291      671.260       270      CAPACITOR,CERAMIC,100nF,50V,X7R,0603                                  
C13        CAP0805                   BottomLayer CAPC0805                         8481.299      673.228       270      CAPACITOR,CERAMIC,10uF,25V,X5R,0805                                   
C12        CAP0805                   BottomLayer CAPC0805                         8720.472      671.260       270      CAPACITOR,CERAMIC,10uF,25V,X5R,0805                                   
R33        RESC0603                  BottomLayer RESC0603                         4645.669      767.716       0        "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R32        RESC0603                  BottomLayer RESC0603                         5275.591      767.716       0        "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R31        RESC0603                  BottomLayer RESC0603                         4015.748      767.716       0        "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
D22        LED-SUNLED-XLUY13D        TopLayer    LED-SUNLED-XLUY13D               4015.748      629.921       90       "LED,TH,GREEN,42mCd,2mm PINMOUNT"                                     
D24        LED-SUNLED-XLUY13D        TopLayer    LED-SUNLED-XLUY13D               5275.591      629.921       90       "LED,TH,GREEN,42mCd,2mm PINMOUNT"                                     
D23        LED-SUNLED-XLUY13D        TopLayer    LED-SUNLED-XLUY13D               4645.669      629.921       90       "LED,TH,GREEN,42mCd,2mm PINMOUNT"                                     
U4         PCAL9555                  BottomLayer SO65P640X120-24N                 7106.299      334.646       180      "I2C,16BIT AGILE I/O EXPANDER,INT,NEXPERIA,PCAL95555,TSSOP24"         
U3         PCAL9555                  BottomLayer SO65P640X120-24N                 7106.299      -78.740       180      "I2C,16BIT AGILE I/O EXPANDER,INT,NEXPERIA,PCAL95555,TSSOP24"         
U2         PCAL9555                  BottomLayer SO65P640X120-24N                 7106.299      728.346       180      "I2C,16BIT AGILE I/O EXPANDER,INT,NEXPERIA,PCAL95555,TSSOP24"         
U1         PCAL9555                  BottomLayer SO65P640X120-24N                 7106.299      1102.362      180      "I2C,16BIT AGILE I/O EXPANDER,INT,NEXPERIA,PCAL95555,TSSOP24"         
C11        CAP0805                   BottomLayer CAPC0805                         6868.268      497.940       180      CAPACITOR,CERAMIC,10uF,25V,X5R,0805                                   
C10        CAP0603                   BottomLayer CAPC0603                         7125.984      531.496       0        CAPACITOR,CERAMIC,100nF,50V,X7R,0603                                  
R166       RESC0603                  BottomLayer RESC0603                         5708.661      767.716       0        "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R165       RESC0603                  BottomLayer RESC0603                         5078.740      767.716       0        "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R164       RESC0603                  BottomLayer RESC0603                         7863.189      1202.756      0        "RESISTOR,10K,1%,100mW,0603 (1608)"                                   
R163       RESC0805                  BottomLayer RESC0805                         354.331       461.614       90       RESISTOR,GENERIC,0805                                                 
R162       RESC0805                  BottomLayer RESC0805                         276.575       461.614       90       RESISTOR,GENERIC,0805                                                 
R161       RESC0603                  BottomLayer RESC0603                         35.433        318.898       90       "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R160       RESC0603                  BottomLayer RESC0603                         7618.110      1318.898      0        "RESISTOR,10K,1%,100mW,0603 (1608)"                                   
R159       RESC0603                  BottomLayer RESC0603                         7460.630      1318.898      180      "RESISTOR,10K,1%,100mW,0603 (1608)"                                   
R158       RESC0603                  BottomLayer RESC0603                         490.158       102.362       270      "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R157       RESC0603                  BottomLayer RESC0603                         411.417       102.362       270      "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R30        RESC0603                  BottomLayer RESC0603                         7362.205      231.299       0        "RESISTOR,10K,1%,100mW,0603 (1608)"                                   
R29        RESC0603                  BottomLayer RESC0603                         7362.205      170.276       0        "RESISTOR,10K,1%,100mW,0603 (1608)"                                   
R28        RESC0603                  BottomLayer RESC0603                         6279.528      433.071       0        "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R27        RESC0603                  BottomLayer RESC0603                         6279.528      196.850       0        "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R26        RESC0603                  BottomLayer RESC0603                         5708.661      433.071       0        "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
R25        RESC0603                  BottomLayer RESC0603                         5708.661      314.961       0        "RESISTOR,470R,1%,100mW,0603 (1608)"                                  
